sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
290,147219,29.863857,77.892294,0.604,0.127,0.749,-0.95
291,147719,29.863857,77.892294,0.549,-0.08,0.801,-1.21
292,148219,29.863819,77.892284,0.726,0.142,0.924,-1.21
293,148719,29.863819,77.892284,0.548,0.032,0.622,-0.95
294,149219,29.863808,77.89228,0.602,0.065,0.931,-0.95
295,149719,29.863808,77.89228,0.639,0.217,0.843,-0.78
296,150219,29.863788,77.892255,0.614,0.01,0.793,-1.3
297,150719,29.863788,77.892255,0.582,0.017,0.721,-1.12
298,151219,29.863771,77.892228,0.594,0.05,0.786,-0.87
299,151719,29.863771,77.892228,0.604,0.001,0.781,-1.12
300,152219,29.863747,77.892204,0.601,0.033,0.85,-1.12
301,152719,29.863747,77.892204,0.647,0.141,0.839,-0.95
302,153219,29.863702,77.892198,0.609,0.028,0.819,-0.95
303,153719,29.863702,77.892198,0.537,0.04,0.779,-0.52
304,154219,29.863656,77.892183,1.102,0.162,1.599,-0.61
305,154719,29.863656,77.892183,0.678,-0.061,0.947,-0.87
306,155219,29.863601,77.892165,0.484,-0.01,0.755,-0.87
307,155719,29.863601,77.892165,0.48,0.095,0.803,-1.12
308,156219,29.863563,77.892127,0.62,0.098,1.007,-0.61
309,156719,29.863563,77.892127,0.473,0.065,0.687,-0.87
310,157219,29.863537,77.892105,0.503,0.061,0.674,-0.35
311,157719,29.863537,77.892105,0.585,0,0.809,-0.95
312,158219,29.86351,77.892077,0.556,0.021,0.829,-0.69
313,158719,29.86351,77.892077,0.652,0.015,0.802,-0.26
314,159219,29.863486,77.892051,0.548,0.016,0.728,-0.26
315,159719,29.863486,77.892051,0.714,0.206,0.949,0
316,160219,29.863466,77.892026,0.623,0.014,0.801,-0.78
317,160720,29.863466,77.892026,0.649,0.17,0.971,-0.52
318,161220,29.863444,77.892007,0.501,0.049,0.721,-0.95
319,161719,29.863444,77.892007,0.608,0.052,0.733,-0.35
320,162219,29.863401,77.892014,0.608,0.004,0.677,-0.61
321,162719,29.863401,77.892014,0.446,-0.043,0.703,-0.61
322,163219,29.863371,77.892004,0.564,0.019,0.89,-0.52
323,163719,29.863371,77.892004,0.508,0.006,0.798,-0.69
324,164219,29.863343,77.891998,0.519,0.045,0.674,-0.43
325,164719,29.863343,77.891998,0.559,0.052,0.838,-0.78
326,165219,29.863324,77.891993,0.614,-0.067,0.823,-0.35
327,165719,29.863324,77.891993,0.612,0.094,0.716,-0.43
328,166219,29.863306,77.891983,0.688,-0.014,0.737,-0.35
329,166719,29.863306,77.891983,0.663,-0.007,0.748,-0.26
330,167219,29.863276,77.891976,0.61,-0.031,0.733,-0.26
331,167719,29.863276,77.891976,0.637,0.078,0.875,-0.52
332,168219,29.863243,77.891976,0.597,0.096,0.864,-0.52
333,168719,29.863243,77.891976,0.765,0.02,0.951,-0.52
334,169219,29.863224,77.891983,0.578,-0.03,0.77,-0.35
335,169719,29.863224,77.891983,0.624,-0.026,0.799,-0.35
336,170219,29.863205,77.891983,0.668,-0.004,0.824,-0.43
337,170719,29.863205,77.891983,0.781,0.136,0.927,-0.35
338,171219,29.863183,77.891969,0.625,0,0.797,-0.09
339,171719,29.863183,77.891969,0.6,0.013,0.827,-0.26
340,172219,29.863138,77.891988,0.631,0.097,0.79,-0.17
341,172719,29.863138,77.891988,0.531,0.022,0.706,-0.26
342,173219,29.863094,77.891993,0.536,-0.079,0.668,0.17
343,173719,29.863094,77.891993,0.622,-0.027,0.792,-0.35
344,174219,29.863058,77.891998,0.554,0,0.674,0.09
345,174719,29.863058,77.891998,0.623,0.017,0.819,0.26
346,175219,29.86302,77.892003,0.717,-0.046,0.827,0.09
347,175719,29.86302,77.892003,0.617,-0.015,0.781,0
348,176219,29.862978,77.892005,0.498,0.073,0.655,0.17
